Id,Designator,Package,Quantity,Designation,Supplier [Code],Min Qty,URLs
1,"C-S70_ANT_GPS1,C-S70_ANT_GPS2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,33pF,Tokopedia [Indoware],10,https://www.tokopedia.com/indo-ware/0805-33pf-33-pf-50v-kapasitor-2012-smd-capasitor-33p-33-p-33-pf-33pf
2,"C-S70_ANT_RF1,C-S70_ANT_RF2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,C,Tokopedia [Indoware],10,https://www.tokopedia.com/indo-ware/0805-33pf-33-pf-50v-kapasitor-2012-smd-capasitor-33p-33-p-33-pf-33pf
3,R-S70_ANT_GPS1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10,Tokopedia [Indoware],20,https://www.tokopedia.com/indo-ware/10r-10-ohm-10-r-0805-1-resistor-smd-10ohm-10-ohm
4,"R-S70_ANT_RF1,R-S70_USB_VBUS1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,0,Tokopedia [Indoware],20,https://www.tokopedia.com/indo-ware/0r-0-ohm-0805-5-paket-1-pcs-resistor-smd-jumper-nol-ohm-jumper-2012
5,"R-S70_USIM1,R-S70_USIM2,R-S70_USIM3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,22,Tokopedia [Indoware],20,https://www.tokopedia.com/indo-ware/22r-22-ohm-0805-5-paket-10-pcs-resistor-smd-1
6,U3,SOT-223-3_TabPin2,1,AMS1117-3.3,Tokopedia [Indoware],4,https://www.tokopedia.com/indo-ware/ams-1117-33v-smd-ams1117-33-voltage-regulated-ic-sot-223-ldo-33v
7,"R-ESP32_BOOT1,R-ESP32_BOOT2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,100,Tokopedia [Indoware],10,https://www.tokopedia.com/indo-ware/100r-100-ohm-0805-5-paket-10-pcs-resistor-smd
8,"C-AMS1,C-AMS2,C-FT_3V3",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,100nF,Tokopedia,2 (20),https://www.tokopedia.com/tentronik/10-pcs-c-capasitor-100nf-100-nf-0-1uf-50v-smd-0805-10
9,"J-S70_ANT_GPS1,J-S70_ANT_RF1",Taoglas-RECE-20279-001E-01-MFG,2,RECE-20279-001E-01,Tokopedia,10,https://www.tokopedia.com/visitek/ipex-original-antenna-base-ipx-20279-001e-antena-u-fl-connector-0-4ghz
10,L-S70_ANT_GPS1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,47nH,Tokopedia,10,https://www.tokopedia.com/cosmic-iot/induktor-inductor-smd-47nh-47-nh-0805-error-5
